RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
H090134,4,33.5928946037564,Delta,Special,Special,0.0421380146786776,0.0320170298218727,0.00378326988089791,550,348.400000095367,Rectang,60,"A,B",F,Standard / High Efficiency,1800,0.938,0.926,350.000008181656,575,60,1782,301.79,55.37,1898.4,168.1,268.8,56,1.2135440180586907,8.28835052521748,0.143245235085487,0.771467506885529,22.2583332061768,22.2583332061768,18.0940437316895,12.1698627471924,5.53956365585327,5.25367164611816,4.61587241061449,0.686859130859375,5011UZ
H9126921,2,1.4310620654015,Delta,AL,AL,0.0792410986376549,0.0804380476474762,0.0396425638796881,350,192.599999904633,Dbl - Closed,36,"A,B",H,TIC Premium Brand,3000,0.931,0.829,75,415,50,2950,100.9,37.76,714.4,310.7,318.6,70,1.167032967032967,16.3088679217809,0.35857480764389,1.46116554737091,11.478175163269,11.478175163269,72.6972808837891,47.3199501037598,19.0527896881104,16.6345405578613,9.77237301523873,1.11756014823914,365T
H080302,4,60.1692231355741,Wye,AL,AL,0.248870754142331,0.200569450855255,0.026294785542855,610,396.599999904633,Dbl - Closed,60,,G,Standard / High Efficiency,1800,0.949,0.864,600,4160,60,1787,75.72,24.07,520.2,190.1,287.1,59,1.1219226260257913,8.75649723841699,1.26928675174713,6.82161808013916,18.4720134735107,18.4720134735107,37.4821624755859,21.9788436889648,5.5697340965271,5.12051677703857,4.35061261971922,5.33141040802002,5811US
3H4100,4,4.37455108731065,Delta,AL,AL,0.0686887723744968,0.0728474780917168,0.0160051918219548,380,237.799999952316,Dbl - Closed,48,"A,B",G,TIC Premium Brand,1800,0.954,0.841,99.9999979545859,460,60,1780,116,37,725,200,256,69,1.2586037364798426,6.46382371203977,0.368956416845322,1.80694210529327,13.7677316665649,13.7677316665649,56.580005645752,25.9068450927734,18.114652633667,15.9459228515625,5.42590420753509,1.13721799850464,405T
A2506FLF4BMQ,6,27.442538304645,Delta,AL,AL,0.023576374297238,0.0262726582586765,0.00452718040366432,550,362.799999952316,Dbl - Closed,72,A,G,Standard / High Efficiency,1200,0.948,0.834,250,460,60,1187,296.14,79.92,1864.7,220,211.3,72,1.2270615563298493,5.65936930171882,0.136485919356346,0.870544254779816,18.1943759918213,18.1943759918213,58.1245346069336,25.4511260986328,18.4347820281982,15.5692615509033,5.50667265231442,0.518173336982727,N587
5003FTAB41F-A,2,24.9371775415583,Delta,AL,AL,0.00694273655416022,0.0049055889248848,0.0020575882128809,550,315.400000095367,Dbl - Closed,48,"A,B",G,Standard / High Efficiency,3600,0.961,0.888,500,460,60,3581,548.72,116.21,3520.5,221.7,292.5,72,1.2223150856665272,12.5670981462756,0.0679603889584541,0.331600993871689,12.8240871429443,12.8240871429443,79.8957443237305,45.0601844787598,12.1953344345093,12.1026573181152,10.1353263680925,0.240643471479416,5011USS
5004FTQL11E-C,4,33.5928946037564,Wye,Special,Special,0.496615081615669,0.355744749307632,0.0420363320099768,550,348.400000095367,Rectang,60,"A,B",F,Standard / High Efficiency,1800,0.944,0.924,500,4000,60,1782,61.76,11.98,398.9,173.2,272,79,1.2137438643462741,8.28835052521748,1.62002861499786,8.57186126708984,22.2583332061768,22.2583332061768,18.0940437316895,12.1698627471924,5.53956365585327,5.02799940109253,4.61587241061449,7.57145261764526,5011US
H010235,2,34.9971023403385,Wye,AL,AL,0.123468308782808,0.105851508677006,0.0359086263927538,670,368.400000095367,Dbl - Closed,48,,G,Standard / High Efficiency,3600,0.954,0.888,1250,4160,60,3571,152.83,32.29,979.7,147.4,280.4,48,1.2164859002169197,21.9398083068052,0.692017734050751,3.65203070640564,18.5331363677979,18.5331363677979,44.1878623962402,20.1578235626221,4.33453512191772,4.03837442398071,7.29233651799227,2.71048045158386,5812USS
B1508FLG3BMHL,8,39.8034910781001,Delta,AL,AL,0.0317775480141472,0.0411634109914303,0.00271933791985675,520,373.399999976158,Dbl - Closed,72,"A,B",G,TIC Premium Brand,900,0.949,0.79,150.000002045414,460,60,891,187.24,71.3,1139.6,157,248.7,46,1.3221690590111643,2.78969197089793,0.197793260216713,1.30249094963074,16.2961120605469,16.2961120605469,58.0254669189453,29.2114410400391,25.5488548278809,21.7785778045654,5.30552184987748,0.837830603122711,N449
B0052YLF2AMH,2,0.0385793236595662,Wye,AL,AL,1.92520183726805,1.00527107715607,0.456842742949318,190,99.1000000238419,Diamond,36,"A,B",J,TIC Premium Brand,3600,0.873,0.927,5.00000002556768,460,60,3485,5.78,1.4,47,258,302,52,1.1139800811508667,30.6738620119389,3.38731551170349,7.69265699386597,12.6802444458008,12.6802444458008,33.2192840576172,16.032075881958,20.5784225463867,15.7889490127563,11.646110425402,5.44996452331543,184T
H080193,4,24.634789376088,Wye,AL,AL,0.421441559327583,0.298875033855438,0.0762625791848047,550,348.400000095367,Dbl - Closed,60,"A,B",G,Standard / High Efficiency,1800,0.948,0.783,350,4160,60,1786,48.81,22.31,303.1,196.5,300.4,62,1.1396054628224581,11.3022961707511,2.63478255271912,10.952428817749,22.2583332061768,22.2583332061768,57.4573020935059,36.1193656921387,6.65249872207642,6.13073205947876,4.77270695014521,8.57533740997314,5011
