DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
2062,KH2075C,2,20,75,575,60,3554,69,14.8,Delta,0.203208401288599,0.0990012288093567,0.114143868314702,1.0284552845528456,20.1747319631424,0.877748847007751,3.21603059768677,13.1455774307251,13.1455774307251,78.2487258911133,42.904598236084,13.5859413146973,13.1912240982056,0,2.15759539604187,365TS
2063,3H2200C,2,20,199.999995909172,575,60,3577,180,46,Delta,0.0340073942337647,0.0240074526518583,0.0107711548196074,1.0272619517977084,14.8318457000572,0.238972216844559,1.18417620658875,12.6763505935669,12.6763505935669,80.6403579711914,43.2888870239258,11.3546104431152,11.3546104431152,9.45488040387662,0.841190874576569,447T
2064,3H2250C,2,20,250,575,60,3583,220,50,Delta,0.0236256888301587,0.0146287940442562,0.00829590060883738,1.0075069142631372,19.559926622366,0.18006843328476,0.97965145111084,12.8240871429443,12.8240871429443,77.2429046630859,37.571174621582,12.1953344345093,12.1953344345093,10.1353263680925,0.68512898683548,5010
2065,3Q2250C,2,20,250,575,60,3579,216,39,Delta,0.0282097097771412,0.0153227858245373,0.00899402386030824,1.2118491921005385,17.2128187323099,0.202468827366829,1.11604928970337,12.4705247879028,12.4705247879028,72.9775848388672,37.4591255187988,13.7466402053833,13.7466402053833,11.4242084417517,0.805951476097107,N449
2066,3H2300C,2,20,300.000004090828,575,60,3581,258,50,Delta,0.0192206979187623,0.0130584379658103,0.00671967949315828,1.0472279260780288,17.3340269658514,0.158184111118317,0.851534783840179,12.8240871429443,12.8240871429443,74.9561767578125,37.45361328125,12.1953344345093,12.1953344345093,10.1353263680925,0.600958049297333,5010
2067,3Q2300C,2,20,300.000004090828,575,60,3582,261,54,Delta,0.0196386674370621,0.0116639798507094,0.00624584990299183,1.1038430089942763,15.6172600462721,0.151687279343605,0.847106099128723,12.4705247879028,12.4705247879028,73.279411315918,36.9258499145508,13.7466402053833,13.5562210083008,11.4242084417517,0.601403832435608,N449
2068,3Q2350C,2,20,350.000008181656,575,60,3581,307,71,Delta,0.0179239847861189,0.0103690400719643,0.00555243309743519,1.1055276381909547,15.6172600462721,0.135312497615814,0.738397300243378,12.4705247879028,12.4705247879028,70.8155975341797,36.6357460021973,13.7466402053833,13.4157285690308,11.4242084417517,0.531378328800201,N449
2069,3H2400C,2,20,399.999991818344,575,60,3579,350,66,Delta,0.0161909252927992,0.0103501295670867,0.00479551051540835,0.8206811653672549,13.7760271500116,0.125802934169769,0.637366771697998,12.8240871429443,12.8240871429443,71.7995300292969,36.9592247009277,12.1953344345093,12.1114654541016,10.1353263680925,0.452624976634979,5010
2070,PH2400C,2,20,399.999991818344,575,60,3581,352,77,Delta,0.0148382008238593,0.00909160077571869,0.0043260792175821,1.1952998379254456,14.3950396948247,0.128435850143433,0.625876307487488,12.8240871429443,12.8240871429443,81.6777877807617,45.2121467590332,12.1953344345093,12.1650886535645,10.1353263680925,0.451693087816238,5011USS
2071,3H2450C,2,20,450.000016363313,575,60,3578,394,76,Delta,0.0146679918404005,0.00894720852375031,0.00388436331167978,0.8356545961002785,12.8669469192807,0.109161376953125,0.548715651035309,12.8240871429443,12.8240871429443,71.5972366333008,36.7629699707031,12.1953344345093,12.0216817855835,10.1353263680925,0.387465387582779,5010
